QTY,"CAT
PG#",CATEGORY / SKU,CASE QTY,ITEM DESCRIPTION,,,UPC,START DATE,AUTH PRICE,AUTH PLUS ,AUTH AMT,AUTH PLUS AMT,MAP,MSRP
,71,AQPTLMG,50,ULTRA COMPACT GREEN PISTOL LASER WITH QUICK RELEASE WEAVER MOUNT,,,814108017149,11/9/2011, $ 43.92 , $ 45.68 ,  ,  , $ 60.99 , $ 84.99 
,,RED LASERS,,,,,,,,,,,,
,72,AAPRLS,100,TACTICAL PISTOL RED LASER FOR ACCESSORY RAIL/ALUMINUM,,,848754003522,7/1/2013, $ 19.97 , $ 20.77 ,  ,  , $ 30.99 , $ 36.99 
,72,ACPRLS,250,COMPACT RED LASER SIGHT WITH WEAVER MOUNT/BLACK ,,,814108017019,6/28/2011, $ 17.30 , $ 18.00 ,  ,  , $ 24.99 , $ 30.99 
,72,APLS,100,RED LASER SIGHT WITH TRIGGER GUARD MOUNT/BLACK,,,814108012458,, $ 10.91 , $ 11.35 ,  ,  , $ 16.99 , $ 21.99 
,73,APRLS,100,RED LASER SIGHT WITH WEAVER MOUNT/BLACK,,,814108012472,, $ 15.97 , $ 16.61 ,  ,  , $ 24.99 , $ 30.99 
,73,ARLS,100,RED LASER SIGHT WITH UNIVERSAL BARREL MOUNT/BLACK,,,814108012434,, $ 10.91 , $ 11.35 ,  ,  , $ 16.99 , $ 21.99 
,72,ATPLS,250,TACTICAL RED LASER SIGHT WITH TRIGGER GUARD MOUNT/BLACK ,,,814108017026,5/25/2011, $ 13.71 , $ 14.26 ,  ,  , $ 24.99 , $ 30.99 
,73,ATRLS,150,TACTICAL RED LASER SIGHT WITH UNIVERSAL TRI-RAIL BARREL MOUNT/BLACK,,,814108017033,5/25/2011, $ 13.71 , $ 14.26 ,  ,  , $ 24.99 , $ 30.99 
,,LASERS,,,,,,,,,,,,
,65,APXLRGB,50,RED & GREEN LASER WITH PICATINNY BASE/INCL. PRESSURE SWITCH,,,848754002327,1/5/2015, $ 63.23 , $ 65.76 ,  ,  , $ 91.99 , $ 103.99 
,,FLASHLIGHTS,,,,,,,,,,,,
,77,ACQPTF,50,PISTOL & RIFLE 1W LED FLASHLIGHT/STROBE/QUICK RELEASE/COMPACT,,,848754002563,1/5/2015, $ 21.97 , $ 22.85 ,  ,  , $ 32.99 , $ 48.99 
,77,AQPTF3,50,PISTOL & RIFLE 1W LED FLASHLIGHT/STROBE/QUICK RELEASE/GEN III,,,848754002518,1/5/2015, $ 21.97 , $ 22.85 ,  ,  , $ 32.99 , $ 48.99 
,77,ATFLB,50,TACTICAL FLASHLIGHT 3W LED/ WEAVER RING,,,814108012397,, $ 24.63 , $ 25.62 ,  ,  , $ 36.99 , $ 42.99 
,,FLASHLIGHT/ LASER COMBOS,,,,,,,,,,,,
,64,AQPFLS,50,TACTICAL RED LASER SIGHT & 3W 120 LUMENS LED FLASHLIGHT WITH WEAVER QUICK RELEASE,,,814108012571,2/6/2009, $ 59.90 , $ 62.29 ,  ,  , $ 75.99 , $ 84.99 
,64,AQPFLSG,50,TACTICAL GREEN LASER SIGHT & 3W 150 LUMEN LED FLASHLIGHT WITH WEAVER QUICK RELEASE,,,814108019358,12/6/2012, $ 91.84 , $ 95.51 ,  ,  , $ 108.99 , $ 120.99 
,64,AQPTFLG,50,COMPACT PISTOL AND RIFLE FLASHLIGHT-GREEN LASER/QUICK RELEASE WEAVER MOUNT,,,814108015183,7/6/2010, $ 48.05 , $ 49.97 ,  ,  , $ 63.99 , $ 72.99 
,,MOUNTING SYSTEMS,,,,,,,,,,,,
,,M1913RIS410L,100,"NcSTAR® 1913 PICATINNY .410""H RISER - LONG",,,848754015174,2/11/2022, $ 6.11 , $ 6.35 ,  ,  , $ 11.99 , $ 14.99 
,,M1913RIS410S,100,"NcSTAR® 1913 PICATINNY .410""H RISER - SHORT",,,848754015136,2/11/2022, $ 3.77 , $ 3.92 ,  ,  , $ 7.99 , $ 9.99 
,,M1913RIS625C,100,"NcSTAR® 1913 PICATINNY .625""H RISER - CANTILEVER",,,848754015150,2/11/2022, $ 6.97 , $ 7.25 ,  ,  , $ 12.99 , $ 16.99 
,,M1913RIS625L,100,"NcSTAR® 1913 PICATINNY .625""H RISER - LONG",,,848754015167,2/11/2022, $ 6.40 , $ 6.66 ,  ,  , $ 11.99 , $ 15.99 
,,M1913RIS625S,100,"NcSTAR® 1913 PICATINNY .625""H RISER - SHORT",,,848754015143,2/11/2022, $ 4.08 , $ 4.24 ,  ,  , $ 8.99 , $ 10.99 
,56,MAD1911,250,PISTOL ACCESSORY RAIL ADAPTER/1911,,,814108016906,5/25/2011, $ 22.09 , $ 22.96 ,  ,  , $ 32.99 , $ 38.99 
,57,MAD38PS,200,"3/8"" DOVETAIL TO PICATINNY RAIL ADAPTER RAIL/SHORT",,,848754002310,9/8/2014, $ 5.59 , $ 5.81 ,  ,  , $ 9.99 , $ 13.99 
,56,MADBER,50,PISTOL ACCESSORY RAIL ADAPTER/BERETTA 92,,,814108016890,5/25/2011, $ 22.09 , $ 22.96 ,  ,  , $ 29.99 , $ 32.99 
,56,MADGLO,250,PISTOL ACCESSORY RAIL ADAPTER/GLOCK,,,814108016333,2/15/2011, $ 22.09 , $ 22.96 ,  ,  , $ 29.99 , $ 32.99 
